# Simulation 6 (Up to date)
# 2863 data points written for 2 variables.
#
# Time (s),Altitude (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
47.39,2864.639
47.44,2862.963
47.49,2861.291
47.54,2859.623
47.59,2857.959
47.64,2856.298
47.69,2854.64
47.74,2852.986
47.79,2851.335
47.84,2849.688
47.89,2848.043
47.94,2846.401
47.99,2844.761
48.04,2843.125
48.09,2841.49
48.14,2839.858
48.19,2838.229
48.24,2836.601
48.29,2834.975
48.34,2833.351
48.39,2831.729
48.44,2830.108
48.49,2828.489
48.54,2826.871
48.59,2825.255
48.64,2823.64
48.69,2822.026
48.74,2820.413
48.79,2818.802
48.84,2817.192
48.89,2815.583
48.94,2813.975
48.99,2812.368
49.04,2810.762
49.09,2809.158
49.14,2807.554
49.19,2805.952
49.24,2804.351
49.29,2802.751
49.34,2801.153
49.39,2799.555
49.44,2797.959
49.49,2796.365
49.54,2794.772
49.59,2793.18
49.64,2791.59
49.69,2790.001
49.74,2788.414
49.79,2786.829
49.84,2785.245
49.89,2783.663
49.94,2782.082
49.99,2780.503
50.04,2778.926
50.09,2777.351
50.14,2775.777
50.19,2774.205
50.24,2772.634
50.29,2771.065
50.34,2769.498
50.39,2767.933
50.44,2766.369
50.49,2764.807
50.54,2763.246
50.59,2761.686
50.64,2760.128
50.69,2758.572
50.74,2757.016
50.79,2755.462
50.84,2753.909
50.89,2752.357
50.94,2750.806
50.99,2749.257
51.04,2747.708
51.09,2746.16
51.14,2744.612
51.19,2743.066
51.24,2741.52
51.29,2739.975
51.34,2738.43
51.39,2736.886
51.44,2735.343
51.49,2733.8
51.54,2732.257
51.59,2730.714
51.64,2729.172
51.69,2727.63
51.74,2726.088
51.79,2724.547
51.84,2723.005
51.89,2721.464
51.94,2719.923
51.99,2718.382
52.04,2716.841
52.09,2715.3
52.14,2713.759
52.19,2712.219
52.24,2710.678
52.29,2709.138
52.34,2707.597
52.39,2706.057
52.44,2704.517
52.49,2702.977
52.54,2701.437
52.59,2699.897
52.64,2698.357
52.69,2696.818
52.74,2695.279
52.79,2693.74
52.84,2692.202
52.89,2690.663
52.94,2689.125
52.99,2687.588
53.04,2686.05
53.09,2684.513
53.14,2682.977
53.19,2681.441
53.24,2679.905
53.29,2678.37
53.34,2676.835
53.39,2675.301
53.44,2673.766
53.49,2672.233
53.54,2670.699
53.59,2669.166
53.64,2667.634
53.69,2666.102
53.74,2664.57
53.79,2663.038
53.84,2661.506
53.89,2659.975
53.94,2658.444
53.99,2656.912
54.04,2655.381
54.09,2653.85
54.14,2652.318
54.19,2650.787
54.24,2649.255
54.29,2647.723
54.34,2646.191
54.39,2644.658
54.44,2643.125
54.49,2641.591
54.54,2640.057
54.59,2638.522
54.64,2636.986
54.69,2635.45
54.74,2633.913
54.79,2632.375
54.84,2630.837
54.89,2629.297
54.94,2627.757
54.99,2626.216
55.04,2624.674
55.09,2623.131
55.14,2621.588
55.19,2620.043
55.24,2618.498
55.29,2616.952
55.34,2615.405
55.39,2613.857
55.44,2612.309
55.49,2610.759
55.54,2609.21
55.59,2607.659
55.64,2606.108
55.69,2604.557
55.74,2603.005
55.79,2601.453
55.84,2599.9
55.89,2598.347
55.94,2596.794
55.99,2595.24
56.04,2593.687
56.09,2592.133
56.14,2590.579
56.19,2589.025
56.24,2587.472
56.29,2585.918
56.34,2584.364
56.39,2582.811
56.44,2581.257
56.49,2579.704
56.54,2578.151
56.59,2576.598
56.64,2575.046
56.69,2573.493
56.74,2571.941
56.79,2570.389
56.84,2568.837
56.89,2567.285
56.94,2565.734
56.99,2564.182
57.04,2562.63
57.09,2561.078
57.14,2559.527
57.19,2557.975
57.24,2556.423
57.29,2554.87
57.34,2553.318
57.39,2551.765
57.44,2550.212
57.49,2548.658
57.54,2547.104
57.59,2545.55
57.64,2543.995
57.69,2542.439
57.74,2540.883
57.79,2539.327
57.84,2537.769
57.89,2536.211
57.94,2534.653
57.99,2533.093
58.04,2531.533
58.09,2529.973
58.14,2528.411
58.19,2526.849
58.24,2525.286
58.29,2523.723
58.34,2522.159
58.39,2520.594
58.44,2519.028
58.49,2517.462
58.54,2515.895
58.59,2514.328
58.64,2512.76
58.69,2511.192
58.74,2509.623
58.79,2508.053
58.84,2506.483
58.89,2504.913
58.94,2503.342
58.99,2501.77
59.04,2500.199
59.09,2498.627
59.14,2497.054
59.19,2495.482
59.24,2493.909
59.29,2492.336
59.34,2490.762
59.39,2489.189
59.44,2487.615
59.49,2486.041
59.54,2484.467
59.59,2482.892
59.64,2481.318
59.69,2479.743
59.74,2478.168
59.79,2476.593
59.84,2475.018
59.89,2473.443
59.94,2471.867
59.99,2470.291
60.04,2468.715
60.09,2467.139
60.14,2465.562
60.19,2463.986
60.24,2462.409
60.29,2460.831
60.34,2459.253
60.39,2457.675
60.44,2456.096
60.49,2454.517
60.54,2452.938
60.59,2451.358
60.64,2449.777
60.69,2448.196
60.74,2446.615
60.79,2445.033
60.84,2443.45
60.89,2441.867
60.94,2440.283
60.99,2438.699
61.04,2437.113
61.09,2435.528
61.14,2433.941
61.19,2432.354
61.24,2430.766
61.29,2429.178
61.34,2427.589
61.39,2425.999
61.44,2424.409
61.49,2422.818
61.54,2421.227
61.59,2419.635
61.64,2418.042
61.69,2416.449
61.74,2414.856
61.79,2413.262
61.84,2411.667
61.89,2410.073
61.94,2408.478
61.99,2406.882
62.04,2405.287
62.09,2403.691
62.14,2402.095
62.19,2400.498
62.24,2398.902
62.29,2397.305
62.34,2395.709
62.39,2394.112
62.44,2392.516
62.49,2390.919
62.54,2389.323
62.59,2387.726
62.64,2386.13
62.69,2384.534
62.74,2382.938
62.79,2381.342
62.84,2379.746
62.89,2378.151
62.94,2376.555
62.99,2374.96
63.04,2373.365
63.09,2371.77
63.14,2370.175
63.19,2368.58
63.24,2366.986
63.29,2365.391
63.34,2363.797
63.39,2362.203
63.44,2360.609
63.49,2359.015
63.54,2357.421
63.59,2355.828
63.64,2354.234
63.69,2352.64
63.74,2351.047
63.79,2349.453
63.84,2347.86
63.89,2346.266
63.94,2344.672
63.99,2343.078
64.04,2341.484
64.09,2339.89
64.14,2338.295
64.19,2336.701
64.24,2335.106
64.29,2333.511
64.34,2331.916
64.39,2330.321
64.44,2328.725
64.49,2327.129
64.54,2325.533
64.59,2323.937
64.64,2322.34
64.69,2320.743
64.74,2319.146
64.79,2317.549
64.84,2315.951
64.89,2314.354
64.94,2312.756
64.99,2311.158
65.04,2309.56
65.09,2307.962
65.14,2306.363
65.19,2304.765
65.24,2303.167
65.29,2301.568
65.34,2299.97
65.39,2298.371
65.44,2296.773
65.49,2295.175
65.54,2293.576
65.59,2291.978
65.64,2290.38
65.69,2288.782
65.74,2287.185
65.79,2285.587
65.84,2283.99
65.89,2282.393
65.94,2280.796
65.99,2279.199
66.04,2277.602
66.09,2276.006
66.14,2274.41
66.19,2272.814
66.24,2271.219
66.29,2269.623
66.34,2268.028
66.39,2266.433
66.44,2264.839
66.49,2263.244
66.54,2261.65
66.59,2260.056
66.64,2258.462
66.69,2256.868
66.74,2255.275
66.79,2253.681
66.84,2252.088
66.89,2250.495
66.94,2248.901
66.99,2247.308
67.04,2245.715
67.09,2244.122
67.14,2242.529
67.19,2240.936
67.24,2239.343
67.29,2237.749
67.34,2236.156
67.39,2234.563
67.44,2232.97
67.49,2231.376
67.54,2229.783
67.59,2228.189
67.64,2226.595
67.69,2225.002
67.74,2223.408
67.79,2221.814
67.84,2220.22
67.89,2218.626
67.94,2217.033
67.99,2215.439
68.04,2213.845
68.09,2212.251
68.14,2210.657
68.19,2209.063
68.24,2207.469
68.29,2205.875
68.34,2204.281
68.39,2202.688
68.44,2201.094
68.49,2199.501
68.54,2197.908
68.59,2196.315
68.64,2194.722
68.69,2193.129
68.74,2191.537
68.79,2189.945
68.84,2188.353
68.89,2186.761
